DATA;ANO;MÊS;MUNICÍPIO;PONTO;COLIFORMES;CLASSE
24/06/10;2010;JUN;PA;PA03;2400;E
01/07/10;2010;JUL;PA;PA03;140;E
08/07/10;2010;JUL;PA;PA03;17;E
15/07/10;2010;JUL;PA;PA03;280;B
29/07/10;2010;JUL;PA;PA03;79;B
05/08/10;2010;AGO;PA;PA03;5;B
12/08/10;2010;AGO;PA;PA03;70;B
19/08/10;2010;AGO;PA;PA03;540;S
26/08/10;2010;AGO;PA;PA03;70;E
02/09/10;2010;SET;PA;PA03;27;E
09/09/10;2010;SET;PA;PA03;33;E
16/09/10;2010;SET;PA;PA03;13;E
23/09/10;2010;SET;PA;PA03;11;E
30/09/10;2010;SET;PA;PA03;33;E
07/10/10;2010;OUT;PA;PA03;23;E
14/10/10;2010;OUT;PA;PA03;13;E
21/10/10;2010;OUT;PA;PA03;23;E
28/10/10;2010;OUT;PA;PA03;2;E
04/11/10;2010;NOV;PA;PA03;33;E
11/11/10;2010;NOV;PA;PA03;8;E
18/11/10;2010;NOV;PA;PA03;8;E
25/11/10;2010;NOV;PA;PA03;8;E
02/12/10;2010;DEZ;PA;PA03;23;E
09/12/10;2010;DEZ;PA;PA03;2;E
30/12/10;2010;DEZ;PA;PA03;33;E
07/01/10;2010;JAN;PA;PA04;920;E
14/01/10;2010;JAN;PA;PA04;2;E
21/01/10;2010;JAN;PA;PA04;79;E
28/01/10;2010;JAN;PA;PA04;170;E
04/02/10;2010;FEV;PA;PA04;7;E
11/02/10;2010;FEV;PA;PA04;79;E
18/02/10;2010;FEV;PA;PA04;8;E
25/02/10;2010;FEV;PA;PA04;4;E
04/03/10;2010;MAR;PA;PA04;280;E
11/03/10;2010;MAR;PA;PA04;2;E
18/03/10;2010;MAR;PA;PA04;23;E
25/03/10;2010;MAR;PA;PA04;7;E
31/03/10;2010;MAR;PA;PA04;49;E
15/04/10;2010;ABR;PA;PA04;23;E
22/04/10;2010;ABR;PA;PA04;17;E
29/04/10;2010;ABR;PA;PA04;47;E
06/05/10;2010;MAI;PA;PA04;350;B
13/05/10;2010;MAI;PA;PA04;23;E
20/05/10;2010;MAI;PA;PA04;2;E
27/05/10;2010;MAI;PA;PA04;8;E
02/06/10;2010;JUN;PA;PA04;5;E
10/06/10;2010;JUN;PA;PA04;4;E
17/06/10;2010;JUN;PA;PA04;8;E
24/06/10;2010;JUN;PA;PA04;7;E
01/07/10;2010;JUL;PA;PA04;13;E
08/07/10;2010;JUL;PA;PA04;2;E
15/07/10;2010;JUL;PA;PA04;7;E
29/07/10;2010;JUL;PA;PA04;10;E
05/08/10;2010;AGO;PA;PA04;6;E
12/08/10;2010;AGO;PA;PA04;33;E
19/08/10;2010;AGO;PA;PA04;14;E
26/08/10;2010;AGO;PA;PA04;8;E
02/09/10;2010;SET;PA;PA04;2;E
09/09/10;2010;SET;PA;PA04;130;E
16/09/10;2010;SET;PA;PA04;33;E
23/09/10;2010;SET;PA;PA04;13;E
30/09/10;2010;SET;PA;PA04;4;E
07/10/10;2010;OUT;PA;PA04;2;E
